Order_ID,Date,Product,Category,Quantity,Unit_Price,Revenue,Customer,Region,Salesperson
ORD-1001,2023-01-15,Laptop Pro,Technology,2,1200.00,2400.00,Acme Corp,West,Alice Smith
ORD-1002,2023-01-18,Wireless Mouse,Accessories,10,25.00,250.00,TechStart Inc,East,Bob Jones
ORD-1003,2023-02-05,Laptop Pro,Technology,1,1200.00,1200.00,Acme Corp,West,Alice Smith
ORD-1004,2023-02-12,Office Chair,Furniture,5,150.00,750.00,Global Logistics,South,Charlie Brown
ORD-1005,2023-03-01,Monitor 27",Technology,4,300.00,1200.00,TechStart Inc,East,Bob Jones
ORD-1006,2023-03-15,Desk Lamp,Accessories,20,15.00,300.00,Local Retail,North,Diana Prince
ORD-1007,2023-04-10,Laptop Pro,Technology,3,1200.00,3600.00,Acme Corp,West,Alice Smith
ORD-1008,2023-04-22,Office Chair,Furniture,2,150.00,300.00,Global Logistics,South,Charlie Brown
ORD-1009,2023-05-05,Wireless Mouse,Accessories,15,25.00,375.00,TechStart Inc,East,Bob Jones
ORD-1010,2023-05-18,Monitor 27",Technology,2,300.00,600.00,Local Retail,North,Diana Prince
ORD-1011,2023-06-01,Laptop Pro,Technology,1,1200.00,1200.00,Acme Corp,West,Alice Smith
ORD-1012,2023-06-15,Desk Lamp,Accessories,10,15.00,150.00,Global Logistics,South,Charlie Brown
